date,code,open,high,low,close,preclose,volume,amount,pctChg,振幅
2022-12-23,sh.000300,3811.6164,3848.3436,3805.9487,3828.2188,3836.028,6527814800,130559415565.7,-0.203575,1.1052
2022-12-26,sh.000300,3830.5682,3856.8066,3827.5186,3843.4887,3828.2188,7300571200,148692832422.1,0.398877,0.7651
2022-12-27,sh.000300,3860.9054,3891.8497,3856.58,3887.854,3843.4887,7751535000,152032206630.9,1.154298,0.9176
2022-12-28,sh.000300,3874.9132,3884.7205,3854.9406,3871.2644,3887.854,8442465600,160671122030.7,-0.426703,0.766
2022-12-29,sh.000300,3854.2363,3868.2933,3838.4803,3856.7007,3871.2644,7939481500,149011372437.3,-0.3762,0.7701
2022-12-30,sh.000300,3873.9358,3887.5527,3868.7569,3871.6338,3856.7007,7877327200,148295049381.5,0.387199,0.4874
2023-01-03,sh.000300,3864.8356,3893.9904,3831.245,3887.8992,3871.6338,11505187500,207540165953.2,0.420117,1.6206
2023-01-04,sh.000300,3886.2504,3905.9032,3873.6549,3892.9477,3887.8992,11066074300,198997711686.0,0.129852,0.8295
2023-01-05,sh.000300,3913.4928,3974.875,3912.26,3968.5782,3892.9477,11650239500,256312608292.0,1.942757,1.6084
2023-01-06,sh.000300,3969.5493,4000.4143,3966.4696,3980.8888,3968.5782,11095303800,235744305582.2,0.310202,0.8553
2023-01-09,sh.000300,3998.5278,4023.0898,3990.7073,4013.1196,3980.8888,11705442500,233212426458.1,0.809638,0.8134
2023-01-10,sh.000300,4014.7125,4030.4574,4002.2297,4017.4737,4013.1196,10175114100,214871166239.5,0.108497,0.7034
2023-01-11,sh.000300,4019.8844,4043.3991,4008.0153,4010.0309,4017.4737,9999788900,203000262960.6,-0.185261,0.8807
2023-01-12,sh.000300,4021.7547,4030.2876,4003.5079,4017.8692,4010.0309,9055262700,183686268106.8,0.195467,0.6678
2023-01-13,sh.000300,4032.2906,4074.3772,4027.8864,4074.3772,4017.8692,9587189600,212173997498.4,1.406417,1.1571
2023-01-16,sh.000300,4077.8793,4177.1035,4076.6394,4137.9643,4074.3772,15139545500,319007749371.3,1.560658,2.4658
2023-01-17,sh.000300,4138.8433,4148.5838,4118.157,4137.2422,4137.9643,9547904000,204381576523.4,-0.017451,0.7353
2023-01-18,sh.000300,4140.1019,4151.4577,4125.7687,4130.3143,4137.2422,8420064500,172126171819.2,-0.167452,0.6209
2023-01-19,sh.000300,4125.5772,4156.0077,4105.9797,4156.0077,4130.3143,9460839800,192699589774.1,0.622069,1.2112
2023-01-20,sh.000300,4166.8444,4189.831,4161.6698,4181.5267,4156.0077,12355380900,222342455100.7,0.614027,0.6776
2023-01-30,sh.000300,4267.6248,4268.1522,4197.8596,4201.345,4181.5267,16460706400,330193322092.2,0.473949,1.681
2023-01-31,sh.000300,4200.5813,4212.7347,4153.0484,4156.8578,4201.345,12455083500,249365321627.1,-1.05888,1.4206
2023-02-01,sh.000300,4170.1322,4195.9332,4137.7659,4195.9332,4156.8578,14100895400,265553944709.3,0.940023,1.3993
2023-02-02,sh.000300,4207.4123,4207.4123,4170.5565,4181.1493,4195.9332,13382373600,262497434837.0,-0.352339,0.8784
2023-02-03,sh.000300,4162.0258,4162.0258,4103.1654,4141.6319,4181.1493,11704122100,226914770043.9,-0.945132,1.4078
2023-02-06,sh.000300,4103.8307,4105.9445,4065.2224,4086.8779,4141.6319,11019271700,226345113968.7,-1.322039,0.9832
2023-02-07,sh.000300,4098.3117,4107.3438,4077.9623,4094.2335,4086.8779,9136007200,183537351577.1,0.179981,0.7189
2023-02-08,sh.000300,4099.8573,4111.4745,4072.6474,4076.1411,4094.2335,8478609900,170591751817.3,-0.4419,0.9483
